;	DO NOT REMOVE THIS FILE!!!
;	Supported DeviceID List Intel Boot Agent CL
4910 1049
4a10 104A
4b10 104B
4c10 104C
4d10 104D
bd10 10BD
bf10 10BF
c010 10C0
c210 10C2
c310 10C3
c410 10C4
c510 10C5
cb10 10CB
cc10 10CC
cd10 10CD
ce10 10CE
de10 10DE
df10 10DF
e510 10E5
ea10 10EA
eb10 10EB
ef10 10EF
f010 10F0
f510 10F5
0115 1501
0215 1502
0315 1503
2515 1525
3a15 153A
3b15 153B
5915 1559
5a15 155A
6f15 156F
7015 1570
a015 15A0
a115 15A1
a215 15A2
a315 15A3
b715 15B7
b815 15B8
4c29 294C
